d_loss, g_loss
-1.0014952, 4.1687975
-3.784164, 3.830852
-3.2874055, 5.703784
-3.2058496, 3.0333967
-3.5470183, 3.542532
-4.2407193, 4.793273
-2.906898, 4.0344677
-2.8848553, 4.593436
-3.9247417, 4.9001837
-3.9413738, 4.799638
-2.9638655, 3.4304733
-4.005426, 4.489996
-1.9025105, 4.263113
-1.7799604, 3.143465
-1.2316446, 2.4096122
-2.532988, 4.2495384
-2.2892804, 3.7078252
-2.2809324, 4.8820047
-3.654362, 4.289338
-2.9847674, 4.23155
-2.3292546, 4.333972
-2.8820446, 3.7685857
-4.749867, 3.6089764
-2.976705, 3.96665
-1.9240301, 4.0224934
-3.2539496, 4.430339
-2.942275, 4.8362665
-2.1110456, 4.8525867
-2.354107, 5.5477695
-3.7358685, 3.8835554
-3.8649442, 4.7875123
-3.153238, 4.9129686
-1.8197172, 3.9486423
-2.2902467, 2.889633
-3.9819064, 3.9054132
-1.8973188, 4.3825555
-4.855803, 2.9897952
-2.8481302, 4.6906433
-3.331249, 4.2268643
-1.2296631, 4.514733
-3.7104268, 4.0123
-2.5919623, 3.304081
-2.8677657, 3.8236573
-1.5973685, 3.531179
-1.4654903, 4.23437
-0.9709654, 4.033575
-2.7844632, 3.3445616
-2.2558215, 4.3030243
-2.1153893, 3.0716805
-3.202887, 3.1768656
-0.47988802, 4.3159
-2.1079097, 2.8450923
-2.1574402, 3.6199617
-1.9366764, 2.917416
-1.3524293, 2.2869563
-2.6312733, 2.102344
-1.2608312, 2.7079906
-1.1178248, 2.938789
-4.0272217, 3.0908804
-3.8788934, 4.04865
-2.0801325, 4.4026814
-2.9670124, 4.0723386
-2.0010428, 2.9761724
-4.0961313, 4.0913057
-3.8205128, 2.9177494
-2.7248588, 3.0417194
-2.4384053, 1.0983686
-0.7032678, 3.6840315
-2.2788475, 2.0248291
-4.5803432, 3.850411
-3.4081612, 4.178983
-0.49917528, 3.015394
-2.9137154, 3.36729
-2.4249663, 3.643662
-3.8194351, 2.8012197
-4.2655687, 2.7409499
-1.3365557, 4.9032
-3.4517527, 2.406281
-3.3782372, 3.6295722
-3.636092, 1.2111251
-2.2051032, 4.5283437
-1.7982148, 3.6087847
-3.7886226, 3.3039925
-2.3695061, 4.797854
-3.4303646, 3.126153
-1.7875557, 3.456889
-2.4503033, 3.0173292
-1.6289343, 4.631664
-2.131979, 3.8329234
-2.4196084, 4.957336
-2.6861217, 2.3661373
-1.4974953, 3.6616025
-2.6672726, 4.3945436
-2.1091514, 4.020314
-1.8982911, 2.9325995
-2.2989779, 3.72007
-4.1105247, 4.235949
-3.0953367, 3.6105971
-1.9026054, 3.4688377
-0.8393513, 5.015497
-2.0248363, 2.687777
-2.2679515, 1.0827041
-2.7000515, 1.8507879
-4.01215, 2.9050114
-0.8619946, 3.2828946
-1.2235005, 2.6165652
-1.6686053, 3.9134493
-3.5513268, 3.0999
-2.6015792, 3.9273381
-3.1483169, 2.7657318
-2.5081165, 2.9756694
-2.0064182, 2.3797534
-1.9705364, 4.1613035
-2.7807486, 4.063839
-2.0717707, 2.8652127
-4.898701, 3.127161
-1.7508876, 3.822519
-2.3012495, 1.805191
-0.955338, 2.5494368
-1.95424, 3.8957524
-1.9279096, 3.1549907
-0.46264732, 3.2844272
-1.5483202, 3.573677
-1.6442821, 1.8335179
-3.3541367, 4.2697773
-0.36702663, 3.4546483
-1.181196, 3.3883276
-2.054272, 3.6003106
-1.4382225, 2.1110945
0.82914114, 3.281281
-2.7863474, 3.5200486
-1.6356697, 2.0382473
-2.1668384, 3.3685365
-1.2431703, 3.5273063
-3.4059038, 2.943411
-3.4678574, 1.888511
-0.95636606, 3.0705855
-0.33627194, 3.451938
-2.4617283, 3.2620158
-2.5764651, 3.287305
-2.177296, 3.2666912
-2.056603, 3.9226248
-2.2973542, 3.600936
-2.3836472, 3.8678918
-2.2585547, 3.7147279
-3.078689, 3.1476328
-0.82729346, 3.796698
-1.8904676, 3.898357
-0.9103512, 3.2652993
-2.4680107, 2.6234727
-1.2962247, 2.9267092
-4.0592027, 4.426318
-3.2555127, 1.78129
-2.6131375, 4.8343277
-1.7861787, 1.9425708
-0.9207108, 2.6851144
-1.7321932, 2.6277018
-3.0858388, 3.9869668
-2.305407, 2.5498343
-2.1757867, 3.7650952
-0.844399, 4.584398
-0.899425, 3.100462
